bill,date,time,item,amount,total,payment_type(cash/card),buyer_id,purchase_price
100000010,22-08-2016,10:42:40,"T-shirt type 1, Reebok",1,309.68,cash,537.0,158
100000010,22-08-2016,10:42:40,"Shoes type 4, Reebok",1,6167.26,cash,537.0,3298
100000012,08-03-2018,15:47:27,"Hat type 5, Adidas",1,261.4194,cash,,163
100000012,08-03-2018,15:47:27,"Shirt type 6, Reebok",1,699.6,cash,,330
100000013,10-11-2016,20:14:56,"Hat type 5, Nike",1,454.336,card,,229
100000018,12-05-2017,12:58:47,"Top type 1, Reebok",2,378.4,cash,,176
100000018,12-05-2017,12:58:47,"Cap type 2, Reebok",1,161.007,cash,,105
100000024,09-03-2017,11:00:18,"Cufflinks type 5, Puma",1,250.88,cash,,140
100000030,21-07-2016,20:01:20,"T-shirt type 4, Puma",1,297.344,cash,,184
100000077,28-06-2018,14:28:49,"Socks type 3, Adidas",2,933.72,card,,502
100000081,04-04-2017,13:10:41,"Socks type 2, Nike",2,538.0,cash,,250
100000081,04-04-2017,13:10:41,"T-shirt type 4, Nike",1,594.336,cash,,246
100000081,04-04-2017,13:10:41,"Trousers type 6, Nike",1,2298.168,cash,,1062
100000081,04-04-2017,13:10:41,"Trousers type 12, Reebok",2,1085.64,cash,,498
100000081,04-04-2017,13:10:41,"T-shirt type 4, Adidas",1,290.88,cash,,144
100000083,13-01-2017,17:53:01,"Socks type 1, Adidas",1,787.5,card,,375
100000083,13-01-2017,17:53:01,"Shirt type 7, Reebok",1,1310.26,card,,686
100000083,13-01-2017,17:53:01,"Shirt type 8, Puma",1,475.2,card,,264
100000083,13-01-2017,17:53:01,"Socks type 6, Nike",1,509.694,card,,255
100000083,13-01-2017,17:53:01,"Slippers type 2, Adidas",1,691.9308,card,,346
100000085,13-11-2016,13:07:44,"Boots type 1, Adidas",1,7293.79,card,,3593
100000086,17-10-2016,16:47:25,"Shirt type 2, Nike",1,1951.232,cash,504.0,824
100000105,16-02-2018,11:48:19,"Trousers type 2, Puma",1,917.9456,cash,,590
100000105,16-02-2018,11:48:19,"Trousers type 4, Puma",1,1463.048,cash,,919
100000105,16-02-2018,11:48:19,"Trousers type 2, Reebok",1,335.49,cash,,159
100000105,16-02-2018,11:48:19,"Shirt type 3, Nike",1,1424.53352,cash,,821
100000105,16-02-2018,11:48:19,"Slippers type 2, Adidas",1,580.1036,cash,,346
100000105,16-02-2018,11:48:19,"Socks type 1, Puma",2,430.992,cash,,246
100000105,16-02-2018,11:48:19,"Trousers type 2, Nike",1,1406.532,cash,,597
100000110,03-03-2018,12:05:28,"Sneakers type 3, Adidas",1,3241.26,cash,,1637
