bill,date,time,item,amount,total,payment_type(cash/card),buyer_id,purchase_price
100000008,12-07-2018,17:04:31,"T-shirt type 5, Puma",1,247.976,cash,,139
100000008,12-07-2018,17:04:31,"Cap type 1, Puma",1,237.984,cash,,134
100000008,12-07-2018,17:04:31,"Cap type 2, Puma",1,314.64,cash,,190
100000016,12-02-2017,15:11:11,"Socks type 5, Nike",1,456.2856,card,450.0,254
100000020,23-02-2018,12:20:30,"Hat type 8, Adidas",1,326.8,cash,,152
100000052,05-07-2018,20:16:54,"Trousers type 2, Nike",2,2813.064,card,,1194
100000052,05-07-2018,20:16:54,"Shoes type 2, Nike",1,3185.73024,card,,1562
100000052,05-07-2018,20:16:54,"Belt type 3, Nike",1,469.264,card,,211
100000052,05-07-2018,20:16:54,"Cap type 3, Adidas",1,342.189,card,,197
100000052,05-07-2018,20:16:54,"T-shirt type 1, Adidas",1,423.108,card,,219
100000084,20-08-2016,11:44:52,"Trousers type 5, Reebok",1,1972.846,card,1149.0,1076
100000084,20-08-2016,11:44:52,"Boots type 5, Reebok",1,5673.87,card,1149.0,2741
100000099,08-10-2017,19:01:23,"Hat type 1, Reebok",1,495.55,cash,,265
100000099,08-10-2017,19:01:23,"Cap type 2, Nike",2,1083.32,cash,,530
100000099,08-10-2017,19:01:23,"Hat type 2, Puma",2,760.32,cash,,440
100000099,08-10-2017,19:01:23,"Belt type 4, Nike",1,522.39536,cash,,283
100000099,08-10-2017,19:01:23,"Shirt type 12, Nike",1,974.028,cash,,471
100000108,02-06-2017,16:53:10,"Sneakers type 2, Reebok",1,1244.0064,cash,1031.0,712
100000111,15-11-2017,17:11:32,"T-shirt type 7, Nike",1,869.584,card,,391
100000126,06-11-2017,16:03:23,"T-shirt type 3, Adidas",1,542.2536,cash,437.0,318
100000126,06-11-2017,16:03:23,"Hat type 3, Puma",1,388.44,cash,437.0,249
100000126,06-11-2017,16:03:23,"Socks type 7, Puma",1,537.472,cash,437.0,320
100000126,06-11-2017,16:03:23,"Top type 2, Adidas",1,310.8,cash,437.0,168
100000131,12-07-2017,09:29:49,"Belt type 4, Nike",2,1258.784,cash,,566
100000131,12-07-2017,09:29:49,"T-shirt type 1, Adidas",1,459.9,cash,,219
100000131,12-07-2017,09:29:49,"Socks type 2, Adidas",1,89.2416,cash,,56
100000131,12-07-2017,09:29:49,"Belt type 1, Puma",1,310.184,cash,,191
100000135,17-07-2016,14:46:26,"Socks type 2, Adidas",1,107.52,card,,56
100000135,17-07-2016,14:46:26,"Shoes type 2, Nike",2,6599.01264,card,,3124
100000135,17-07-2016,14:46:26,"Boots type 4, Adidas",1,7128.99,card,,3411
100000135,17-07-2016,14:46:26,"T-shirt type 7, Nike",1,800.01728,card,,391
100000135,17-07-2016,14:46:26,"Trousers type 7, Puma",1,482.232,card,,283
100000135,17-07-2016,14:46:26,"Cufflinks type 2, Nike",1,231.544,card,,103
100000152,14-09-2018,16:37:34,"Belt type 1, Puma",1,310.184,card,,191
100000160,28-01-2018,12:07:47,"Cufflinks type 3, Nike",1,782.6,cash,,350
100000160,28-01-2018,12:07:47,"Top type 2, Reebok",1,452.6522,cash,,247
100000170,29-07-2016,16:14:33,"Boots type 6, Puma",1,2144.936,card,318.0,1361
100000170,29-07-2016,16:14:33,"Sneakers type 2, Puma",2,3158.112,card,318.0,1964
100000170,29-07-2016,16:14:33,"Sneakers type 6, Adidas",1,2545.92,card,318.0,1224
100000170,29-07-2016,16:14:33,"Belt type 2, Adidas",1,325.95,card,318.0,159
100000170,29-07-2016,16:14:33,"Socks type 7, Adidas",1,789.0696,card,318.0,369
100000170,29-07-2016,16:14:33,"Cufflinks type 6, Reebok",1,413.27,card,318.0,221
100000204,14-03-2016,18:02:47,"Shirt type 8, Nike",2,2181.57168,card,,1084
100000232,07-06-2017,11:05:49,"Cufflinks type 4, Reebok",1,821.24,cash,,419
100000232,07-06-2017,11:05:49,"Trousers type 7, Puma",1,482.232,cash,,283
100000239,30-04-2017,12:29:54,"Boots type 6, Nike",1,4648.06608,cash,,2279
100000239,30-04-2017,12:29:54,"Sneakers type 6, Nike",1,4035.2232,cash,,1923
100000245,23-11-2017,16:19:44,"T-shirt type 1, Reebok",1,309.68,cash,,158
100000248,12-07-2018,20:16:29,"T-shirt type 3, Nike",1,492.2,cash,421.0,230
100000248,12-07-2018,20:16:29,"T-shirt type 1, Reebok",1,309.68,cash,421.0,158
100000256,28-12-2017,11:22:59,"Slippers type 1, Adidas",1,391.95,cash,,195
100000256,28-12-2017,11:22:59,"Ball type 2, Nike",1,69.4046,cash,,37
100000256,28-12-2017,11:22:59,"Hat type 8, Adidas",1,326.8,cash,,152
100000270,12-05-2018,15:33:37,"Belt type 1, Adidas",1,637.29,card,,291
100000272,05-05-2018,14:43:01,"Boots type 5, Nike",1,8007.18,cash,,3543
100000272,05-05-2018,14:43:01,"Trousers type 7, Nike",1,2510.49936,cash,,1299
100000274,30-07-2016,11:38:18,"Belt type 2, Reebok",2,829.0612,card,,418
100000275,21-07-2018,10:46:05,"Cufflinks type 1, Reebok",1,767.97,cash,,371
100000276,16-06-2017,16:50:38,"Trousers type 3, Nike",1,1505.79744,cash,1129.0,714
100000276,16-06-2017,16:50:38,"Ball type 1, Reebok",2,187.48,cash,1129.0,86
100000276,16-06-2017,16:50:38,"Cufflinks type 4, Puma",1,788.04,cash,1129.0,495
100000301,20-07-2016,10:29:11,"Cufflinks type 4, Puma",1,654.0732,cash,,495
